target,trial,is_best_for_target,val_mae,val_wmae,best_iteration,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,reg_alpha,reg_lambda,use_sample_weights,weight_alpha,weight_p,weight_clip_max
target_bow_f1__full,1,0,0.05185661152197919,,32,1600,5,0.1,1.0,1.0,5,0.0,0.0,0.5,0,5.0,2.0,50.0
target_bow_f1__full,2,0,0.0528351935926132,,170,400,4,0.02,1.0,1.0,5,0.1,0.1,0.5,0,5.0,2.0,50.0
target_bow_f1__full,3,0,0.050910411173666535,,309,1000,4,0.02,0.8,0.6,1,0.1,0.0,2.0,0,5.0,2.0,50.0
target_bow_f1__full,4,0,0.052531525016340695,,105,1200,3,0.1,0.8,0.6,5,0.1,0.1,2.0,0,5.0,2.0,50.0
target_bow_f1__full,5,0,0.05231555058759197,,122,1200,5,0.03,1.0,0.6,5,0.1,0.5,0.5,0,5.0,2.0,50.0
target_bow_f1__full,6,0,0.04964061536356247,,233,1000,7,0.02,0.8,0.6,10,0.1,0.1,0.5,0,5.0,2.0,50.0
target_bow_f1__full,7,0,0.054885701778030566,,101,1200,3,0.03,1.0,0.6,1,0.3,0.5,2.0,0,5.0,2.0,50.0
target_bow_f1__full,8,0,0.05310079468082908,,292,1600,7,0.02,1.0,1.0,1,0.0,0.0,0.5,0,5.0,2.0,50.0
target_bow_f1__full,9,0,0.05104538743874761,,227,400,6,0.02,0.8,0.8,3,0.0,0.5,1.0,0,5.0,2.0,50.0
target_bow_f1__full,10,0,0.05088538892328631,,87,1600,5,0.05,1.0,0.8,5,0.0,0.0,1.0,0,5.0,2.0,50.0
target_bow_f1__full,11,0,0.05105683204921546,,114,1600,6,0.03,1.0,0.6,10,0.1,0.0,0.5,0,5.0,2.0,50.0
target_bow_f1__full,12,0,0.05516861091475362,,152,1000,6,0.02,1.0,1.0,10,0.3,0.5,2.0,0,5.0,2.0,50.0
target_bow_f1__full,13,0,0.051083149076006196,,388,1200,4,0.01,0.8,0.8,3,0.1,0.0,2.0,0,5.0,2.0,50.0
target_bow_f1__full,14,0,0.05164758076770174,,537,1600,7,0.01,0.6,0.6,3,0.1,0.1,1.0,0,5.0,2.0,50.0
target_bow_f1__full,15,0,0.049892522201217565,,94,1600,4,0.05,0.8,1.0,10,0.0,0.1,0.5,0,5.0,2.0,50.0
target_bow_f1__full,16,0,0.04874044123278189,,640,1600,5,0.02,0.6,0.8,5,0.0,0.1,2.0,0,5.0,2.0,50.0
target_bow_f1__full,17,0,0.05114177377751382,,476,1000,3,0.01,1.0,0.8,1,0.0,0.0,0.5,0,5.0,2.0,50.0
target_bow_f1__full,18,0,0.05253019493209921,,251,1600,5,0.02,1.0,1.0,10,0.0,0.5,2.0,0,5.0,2.0,50.0
target_bow_f1__full,19,0,0.05352751835336683,,32,1200,7,0.1,1.0,0.8,10,0.3,0.0,1.0,0,5.0,2.0,50.0
target_bow_f1__full,20,0,0.050200856803203804,,81,800,5,0.05,1.0,0.8,10,0.0,0.1,0.5,0,5.0,2.0,50.0
target_bow_f1__full,21,0,0.0518561606631985,,140,1600,6,0.1,0.6,0.8,3,0.0,0.5,1.0,0,5.0,2.0,50.0
target_bow_f1__full,22,0,0.05341554141638452,,585,1600,3,0.01,0.8,1.0,3,0.3,0.0,2.0,0,5.0,2.0,50.0
target_bow_f1__full,23,0,0.05140828827599201,,273,1000,6,0.02,0.6,0.8,5,0.1,0.1,1.0,0,5.0,2.0,50.0
target_bow_f1__full,24,0,0.05078532390561901,,543,1000,7,0.01,0.8,1.0,5,0.1,0.1,0.5,0,5.0,2.0,50.0
target_bow_f1__full,25,0,0.05241226176273783,,124,1200,7,0.03,1.0,1.0,1,0.0,0.1,0.5,0,5.0,2.0,50.0
target_bow_f1__full,26,0,0.05287299216501171,,162,400,4,0.03,0.6,1.0,10,0.1,0.5,2.0,0,5.0,2.0,50.0
target_bow_f1__full,27,0,0.05234438432052556,,267,600,4,0.02,0.6,1.0,10,0.1,0.5,1.0,0,5.0,2.0,50.0
target_bow_f1__full,28,0,0.05137417734315823,,109,1000,7,0.05,0.8,1.0,3,0.1,0.1,2.0,0,5.0,2.0,50.0
target_bow_f1__full,29,0,0.054664461377076555,,131,400,3,0.03,0.8,0.8,3,0.3,0.5,1.0,0,5.0,2.0,50.0
target_bow_f1__full,30,0,0.052154404087532136,,31,1000,6,0.1,0.6,0.6,10,0.1,0.0,0.5,0,5.0,2.0,50.0
target_bow_f1__full,31,0,0.05309468814900935,,294,1600,6,0.02,0.6,0.8,10,0.3,0.0,1.0,0,5.0,2.0,50.0
target_bow_f1__full,32,0,0.0488484300447093,,310,1000,4,0.02,0.6,0.8,5,0.0,0.1,1.0,0,5.0,2.0,50.0
target_bow_f1__full,33,0,0.05245342437547394,,69,1600,5,0.05,1.0,0.6,3,0.1,0.1,2.0,0,5.0,2.0,50.0
target_bow_f1__full,34,0,0.05048656440768801,,795,800,7,0.01,1.0,0.6,1,0.0,0.5,1.0,0,5.0,2.0,50.0
target_bow_f1__full,35,0,0.0487211282710888,,191,400,6,0.03,0.6,1.0,10,0.0,0.0,0.5,0,5.0,2.0,50.0
target_bow_f1__full,36,0,0.050202798326031285,,169,1200,4,0.03,1.0,1.0,1,0.0,0.0,0.5,0,5.0,2.0,50.0
target_bow_f1__full,37,0,0.05111323351271516,,163,400,6,0.05,0.6,1.0,5,0.1,0.0,2.0,0,5.0,2.0,50.0
target_bow_f1__full,38,0,0.05128415018178199,,46,600,3,0.1,0.6,0.6,3,0.0,0.5,1.0,0,5.0,2.0,50.0
target_bow_f1__full,39,0,0.053653893980404564,,60,600,5,0.05,1.0,0.8,1,0.3,0.0,1.0,0,5.0,2.0,50.0
target_bow_f1__full,40,0,0.04963862495325336,,204,1000,6,0.02,0.6,0.8,1,0.0,0.1,1.0,0,5.0,2.0,50.0
target_bow_f1__full,41,0,0.0513520905845937,,37,600,3,0.1,0.6,1.0,5,0.1,0.0,1.0,0,5.0,2.0,50.0
target_bow_f1__full,42,0,0.050702861796795805,,141,800,6,0.05,1.0,0.6,3,0.0,0.0,2.0,0,5.0,2.0,50.0
target_bow_f1__full,43,0,0.04796914206388434,,103,1600,6,0.05,0.6,0.6,5,0.0,0.0,0.5,0,5.0,2.0,50.0
target_bow_f1__full,44,0,0.051042377637272075,,451,1000,4,0.01,0.8,1.0,3,0.1,0.0,2.0,0,5.0,2.0,50.0
target_bow_f1__full,45,0,0.05384933193195747,,394,1000,3,0.02,0.6,0.8,3,0.3,0.5,0.5,0,5.0,2.0,50.0
target_bow_f1__full,46,0,0.05426554638116402,,106,400,4,0.03,1.0,0.6,3,0.3,0.0,2.0,0,5.0,2.0,50.0
target_bow_f1__full,47,0,0.051015365372992214,,209,1200,3,0.02,0.6,0.6,3,0.0,0.0,0.5,0,5.0,2.0,50.0
target_bow_f1__full,48,0,0.051874479423205715,,48,1200,4,0.1,0.8,0.8,10,0.1,0.0,2.0,0,5.0,2.0,50.0
target_bow_f1__full,49,0,0.05380826351436586,,408,1000,4,0.02,0.6,0.6,3,0.3,0.1,0.5,0,5.0,2.0,50.0
target_bow_f1__full,50,0,0.05199029464796229,,134,800,5,0.1,1.0,1.0,10,0.0,0.5,0.5,0,5.0,2.0,50.0
target_bow_f1__full,51,0,0.053557481967253594,,366,400,5,0.01,0.8,0.6,5,0.3,0.0,1.0,0,5.0,2.0,50.0
target_bow_f1__full,52,0,0.049887747160107354,,202,400,3,0.1,0.8,1.0,1,0.0,0.1,2.0,0,5.0,2.0,50.0
target_bow_f1__full,53,0,0.050538701929147625,,191,400,4,0.03,0.6,0.6,10,0.0,0.0,0.5,0,5.0,2.0,50.0
target_bow_f1__full,54,0,0.05030711706502068,,95,600,5,0.05,1.0,0.6,3,0.0,0.0,0.5,0,5.0,2.0,50.0
target_bow_f1__full,55,0,0.05361147385783681,,408,1600,4,0.02,0.6,0.6,5,0.3,0.1,1.0,0,5.0,2.0,50.0
target_bow_f1__full,56,0,0.05552785947146493,,29,1600,6,0.1,1.0,1.0,1,0.3,0.5,1.0,0,5.0,2.0,50.0
target_bow_f1__full,57,0,0.05508783074574457,,33,800,7,0.1,1.0,1.0,3,0.1,0.5,2.0,0,5.0,2.0,50.0
target_bow_f1__full,58,0,0.049430477705267324,,39,800,6,0.1,0.8,1.0,10,0.0,0.0,1.0,0,5.0,2.0,50.0
target_bow_f1__full,59,0,0.050908751313600314,,515,800,7,0.01,0.8,0.8,1,0.1,0.0,0.5,0,5.0,2.0,50.0
target_bow_f1__full,60,0,0.05430308719977759,,397,400,4,0.01,0.6,0.6,5,0.3,0.0,0.5,0,5.0,2.0,50.0
target_bow_f1__full,61,0,0.0540838311882579,,57,600,6,0.05,1.0,1.0,3,0.3,0.1,1.0,0,5.0,2.0,50.0
target_bow_f1__full,62,0,0.05173586313939798,,40,400,4,0.1,0.8,0.8,3,0.0,0.1,1.0,0,5.0,2.0,50.0
target_bow_f1__full,63,0,0.05509751540159438,,102,800,3,0.03,1.0,0.8,1,0.3,0.5,2.0,0,5.0,2.0,50.0
target_bow_f1__full,64,0,0.050608216776642366,,100,600,3,0.05,0.6,0.6,1,0.1,0.1,2.0,0,5.0,2.0,50.0
target_bow_f1__full,65,0,0.050845932763485854,,52,400,3,0.1,0.6,0.6,5,0.0,0.0,0.5,0,5.0,2.0,50.0
target_bow_f1__full,66,0,0.05125983308528047,,197,1200,6,0.02,1.0,0.6,5,0.0,0.0,1.0,0,5.0,2.0,50.0
target_bow_f1__full,67,0,0.05294581038214806,,523,1000,4,0.01,0.6,0.6,5,0.3,0.1,1.0,0,5.0,2.0,50.0
target_bow_f1__full,68,0,0.05138191271603637,,236,400,5,0.03,0.6,0.6,10,0.1,0.5,0.5,0,5.0,2.0,50.0
target_bow_f1__full,69,0,0.05044607209687594,,199,1000,5,0.02,1.0,0.8,3,0.0,0.1,1.0,0,5.0,2.0,50.0
target_bow_f1__full,70,0,0.05334011326564101,,510,600,4,0.01,0.6,0.8,10,0.3,0.0,1.0,0,5.0,2.0,50.0
target_bow_f1__full,71,0,0.05099108868096575,,110,1200,3,0.1,0.8,0.6,3,0.0,0.1,2.0,0,5.0,2.0,50.0
target_bow_f1__full,72,0,0.0522926359858734,,116,400,5,0.03,1.0,0.8,10,0.1,0.1,1.0,0,5.0,2.0,50.0
target_bow_f1__full,73,0,0.0548911146003678,,139,400,7,0.03,0.6,0.8,10,0.3,0.1,2.0,0,5.0,2.0,50.0
target_bow_f1__full,74,0,0.04910705625966577,,81,1600,6,0.1,0.6,1.0,1,0.0,0.5,2.0,0,5.0,2.0,50.0
target_bow_f1__full,75,0,0.05529010099180712,,125,400,7,0.1,0.6,0.6,10,0.3,0.5,2.0,0,5.0,2.0,50.0
target_bow_f1__full,76,0,0.04997716495650252,,368,1600,6,0.05,0.6,0.8,3,0.0,0.5,0.5,0,5.0,2.0,50.0
target_bow_f1__full,77,0,0.05174911360633586,,39,800,3,0.1,1.0,0.8,1,0.0,0.1,2.0,0,5.0,2.0,50.0
target_bow_f1__full,78,0,0.051825450759288,,730,1600,4,0.01,0.8,0.6,1,0.1,0.5,1.0,0,5.0,2.0,50.0
target_bow_f1__full,79,0,0.04967503256043977,,369,1600,5,0.01,0.8,0.6,5,0.0,0.0,1.0,0,5.0,2.0,50.0
target_bow_f1__full,80,0,0.05120892952997071,,399,400,3,0.01,1.0,0.8,10,0.0,0.0,1.0,0,5.0,2.0,50.0
target_bow_f1__full,81,0,0.05099513921190538,,146,1600,5,0.05,0.6,0.6,10,0.1,0.0,0.5,0,5.0,2.0,50.0
target_bow_f1__full,82,0,0.055266120791372705,,152,1600,6,0.02,1.0,1.0,10,0.3,0.5,2.0,0,5.0,2.0,50.0
target_bow_f1__full,83,0,0.04992893059004772,,108,600,7,0.1,0.6,0.8,1,0.1,0.1,2.0,0,5.0,2.0,50.0
target_bow_f1__full,84,0,0.04966414603464501,,118,400,4,0.1,0.6,0.6,5,0.0,0.5,2.0,0,5.0,2.0,50.0
target_bow_f1__full,85,0,0.053606488543922956,,275,600,7,0.02,0.6,0.8,1,0.3,0.0,2.0,0,5.0,2.0,50.0
target_bow_f1__full,86,0,0.05405412726913776,,99,600,4,0.1,0.8,1.0,3,0.3,0.0,1.0,0,5.0,2.0,50.0
target_bow_f1__full,87,0,0.052776660746349874,,167,600,6,0.02,1.0,1.0,3,0.1,0.1,0.5,0,5.0,2.0,50.0
target_bow_f1__full,88,0,0.05165590689102826,,110,1000,7,0.05,0.8,1.0,5,0.1,0.1,0.5,0,5.0,2.0,50.0
target_bow_f1__full,89,0,0.051764344544625154,,200,400,5,0.02,0.6,1.0,5,0.1,0.0,2.0,0,5.0,2.0,50.0
target_bow_f1__full,90,0,0.05064080415914131,,143,1600,3,0.03,0.6,0.8,5,0.0,0.5,0.5,0,5.0,2.0,50.0
target_bow_f1__full,91,0,0.05285560588839624,,877,1600,3,0.01,0.8,0.6,5,0.3,0.0,2.0,0,5.0,2.0,50.0
target_bow_f1__full,92,0,0.05095748994620636,,39,1600,5,0.1,1.0,0.8,3,0.0,0.0,1.0,0,5.0,2.0,50.0
target_bow_f1__full,93,0,0.05243754698563074,,333,800,4,0.01,1.0,1.0,5,0.1,0.0,0.5,0,5.0,2.0,50.0
target_bow_f1__full,94,0,0.051250895730935345,,33,1600,4,0.1,1.0,0.8,3,0.1,0.0,0.5,0,5.0,2.0,50.0
target_bow_f1__full,95,0,0.05378799276480363,,60,1200,5,0.05,1.0,0.6,3,0.3,0.1,2.0,0,5.0,2.0,50.0
target_bow_f1__full,96,0,0.04952656663003001,,73,1200,4,0.1,0.8,1.0,5,0.0,0.1,0.5,0,5.0,2.0,50.0
target_bow_f1__full,97,0,0.054565543658534915,,28,1600,4,0.1,1.0,0.8,1,0.3,0.1,2.0,0,5.0,2.0,50.0
target_bow_f1__full,98,0,0.04948727703530479,,67,1600,5,0.1,0.6,0.8,10,0.0,0.1,1.0,0,5.0,2.0,50.0
target_bow_f1__full,99,0,0.05084831500855748,,69,1200,6,0.1,0.6,0.6,3,0.0,0.1,2.0,0,5.0,2.0,50.0
target_bow_f1__full,100,0,0.050542871865373803,,228,800,3,0.03,0.6,0.8,1,0.0,0.0,1.0,0,5.0,2.0,50.0
target_bow_f1__full,43,1,0.04796914206388434,,103,1600,6,0.05,0.6,0.6,5,0.0,0.0,0.5,0,5.0,2.0,50.0
target_bow_precision__full,1,0,0.043351375013457136,,383,1000,5,0.05,1.0,0.8,1,0.0,0.1,1.0,0,5.0,2.0,50.0
target_bow_precision__full,2,0,0.050685744673530105,,24,1600,5,0.1,1.0,0.8,3,0.3,0.1,0.5,0,5.0,2.0,50.0
target_bow_precision__full,3,0,0.04710115993792186,,152,800,7,0.1,0.8,0.8,10,0.1,0.0,1.0,0,5.0,2.0,50.0
target_bow_precision__full,4,0,0.04686208060655537,,233,1000,7,0.03,0.6,1.0,5,0.1,0.0,0.5,0,5.0,2.0,50.0
target_bow_precision__full,5,0,0.04507878529097141,,220,400,3,0.03,0.8,1.0,10,0.0,0.1,2.0,0,5.0,2.0,50.0
target_bow_precision__full,6,0,0.04632731243975592,,270,1200,4,0.02,0.8,0.6,5,0.1,0.0,0.5,0,5.0,2.0,50.0
target_bow_precision__full,7,0,0.04671625162973517,,588,600,5,0.01,0.6,1.0,3,0.1,0.5,1.0,0,5.0,2.0,50.0
target_bow_precision__full,8,0,0.047121531804450216,,303,1200,5,0.01,1.0,0.8,3,0.1,0.1,0.5,0,5.0,2.0,50.0
target_bow_precision__full,9,0,0.05051466493320639,,256,1200,5,0.01,1.0,0.8,1,0.3,0.1,1.0,0,5.0,2.0,50.0
target_bow_precision__full,10,0,0.04726025467838572,,230,1000,6,0.05,0.8,0.8,3,0.1,0.0,2.0,0,5.0,2.0,50.0
target_bow_precision__full,11,0,0.0461359044928929,,217,1600,6,0.03,0.8,0.8,1,0.1,0.1,1.0,0,5.0,2.0,50.0
target_bow_precision__full,12,0,0.0469729231098235,,94,600,7,0.1,0.6,0.6,3,0.0,0.0,0.5,0,5.0,2.0,50.0
target_bow_precision__full,13,0,0.04654940159815952,,123,600,3,0.1,0.6,0.6,10,0.0,0.0,2.0,0,5.0,2.0,50.0
target_bow_precision__full,14,0,0.04491460320373725,,188,400,7,0.03,0.8,0.6,10,0.0,0.1,2.0,0,5.0,2.0,50.0
target_bow_precision__full,15,0,0.048560077110223615,,349,1000,6,0.03,0.8,0.6,1,0.3,0.0,2.0,0,5.0,2.0,50.0
target_bow_precision__full,16,0,0.04513674887922609,,565,600,4,0.01,0.6,0.8,10,0.0,0.0,0.5,0,5.0,2.0,50.0
target_bow_precision__full,17,0,0.04806898710633495,,108,400,6,0.03,1.0,1.0,10,0.1,0.5,1.0,0,5.0,2.0,50.0
target_bow_precision__full,18,0,0.045558265874615714,,124,1200,5,0.1,1.0,0.8,3,0.0,0.0,2.0,0,5.0,2.0,50.0
target_bow_precision__full,19,0,0.0492597080709724,,518,1000,7,0.01,0.8,0.8,10,0.3,0.0,1.0,0,5.0,2.0,50.0
target_bow_precision__full,20,0,0.04518684871996689,,54,600,6,0.1,0.6,1.0,3,0.0,0.1,2.0,0,5.0,2.0,50.0
target_bow_precision__full,21,0,0.047439750872513016,,353,600,3,0.01,1.0,0.8,10,0.1,0.5,1.0,0,5.0,2.0,50.0
target_bow_precision__full,22,0,0.0511324454193753,,261,1000,7,0.01,1.0,0.8,10,0.3,0.5,1.0,0,5.0,2.0,50.0
target_bow_precision__full,23,0,0.04683344722552266,,163,600,4,0.02,1.0,1.0,3,0.1,0.5,0.5,0,5.0,2.0,50.0
target_bow_precision__full,24,0,0.04477144635001276,,42,1600,4,0.1,0.6,0.8,1,0.0,0.1,1.0,0,5.0,2.0,50.0
target_bow_precision__full,25,0,0.04422378993014649,,80,600,7,0.05,0.6,0.8,10,0.0,0.1,2.0,0,5.0,2.0,50.0
target_bow_precision__full,26,0,0.05059872613138455,,49,800,5,0.05,1.0,0.8,10,0.3,0.1,1.0,0,5.0,2.0,50.0
target_bow_precision__full,27,0,0.04667758744702516,,541,600,6,0.01,0.6,0.6,3,0.1,0.0,2.0,0,5.0,2.0,50.0
target_bow_precision__full,28,0,0.04339864602561488,,1196,1200,5,0.01,0.8,0.6,3,0.0,0.5,2.0,0,5.0,2.0,50.0
target_bow_precision__full,29,0,0.0455171767678094,,52,400,6,0.1,0.8,0.6,10,0.0,0.0,0.5,0,5.0,2.0,50.0
target_bow_precision__full,30,0,0.05108377590374743,,266,1200,4,0.01,1.0,0.8,3,0.3,0.5,0.5,0,5.0,2.0,50.0
target_bow_precision__full,31,0,0.04482981970754587,,309,400,6,0.05,0.8,0.6,1,0.0,0.1,0.5,0,5.0,2.0,50.0
target_bow_precision__full,32,0,0.049735429825966335,,511,800,7,0.01,0.8,1.0,1,0.3,0.0,0.5,0,5.0,2.0,50.0
target_bow_precision__full,33,0,0.04324875744189293,,415,800,4,0.03,1.0,0.8,5,0.0,0.5,2.0,0,5.0,2.0,50.0
target_bow_precision__full,34,0,0.0442314818131706,,519,1600,6,0.02,0.8,0.6,5,0.0,0.1,0.5,0,5.0,2.0,50.0
target_bow_precision__full,35,0,0.04771204263493788,,96,1600,4,0.05,0.6,0.8,10,0.1,0.5,0.5,0,5.0,2.0,50.0
target_bow_precision__full,36,0,0.04988334666898039,,105,1600,7,0.1,0.6,0.8,3,0.3,0.5,1.0,0,5.0,2.0,50.0
target_bow_precision__full,37,0,0.04758456925735143,,165,1000,5,0.02,1.0,0.8,1,0.1,0.5,1.0,0,5.0,2.0,50.0
target_bow_precision__full,38,0,0.04563520281234325,,35,1200,7,0.1,0.8,0.6,5,0.1,0.1,2.0,0,5.0,2.0,50.0
target_bow_precision__full,39,0,0.05161748112555631,,26,1200,7,0.1,1.0,0.8,10,0.3,0.5,0.5,0,5.0,2.0,50.0
target_bow_precision__full,40,0,0.05060918653111873,,49,1200,6,0.05,1.0,0.8,3,0.3,0.0,0.5,0,5.0,2.0,50.0
target_bow_precision__full,41,0,0.04812612946345129,,69,400,7,0.05,1.0,0.6,5,0.1,0.5,2.0,0,5.0,2.0,50.0
target_bow_precision__full,42,0,0.04618990638313129,,81,600,3,0.1,0.6,0.6,3,0.0,0.0,1.0,0,5.0,2.0,50.0
target_bow_precision__full,43,0,0.04439181786240914,,205,800,4,0.03,0.6,0.8,10,0.0,0.0,2.0,0,5.0,2.0,50.0
target_bow_precision__full,44,0,0.046739730527219046,,329,800,6,0.01,1.0,0.6,5,0.1,0.5,1.0,0,5.0,2.0,50.0
target_bow_precision__full,45,0,0.04550028099908129,,61,600,6,0.1,1.0,0.8,3,0.0,0.1,2.0,0,5.0,2.0,50.0
target_bow_precision__full,46,0,0.0510248450792424,,461,600,4,0.01,0.6,1.0,5,0.3,0.5,1.0,0,5.0,2.0,50.0
target_bow_precision__full,47,0,0.05028295825441883,,372,600,7,0.01,0.6,1.0,1,0.3,0.1,2.0,0,5.0,2.0,50.0
target_bow_precision__full,48,0,0.04467592575512912,,270,400,6,0.05,1.0,1.0,3,0.0,0.5,1.0,0,5.0,2.0,50.0
target_bow_precision__full,49,0,0.047277718910610535,,108,1600,3,0.05,0.6,0.8,1,0.1,0.1,1.0,0,5.0,2.0,50.0
target_bow_precision__full,50,0,0.04949180142961111,,426,1600,7,0.02,0.6,0.8,10,0.3,0.0,2.0,0,5.0,2.0,50.0
target_bow_precision__full,51,0,0.047460539175244947,,103,1600,3,0.1,0.6,0.6,10,0.1,0.0,1.0,0,5.0,2.0,50.0
target_bow_precision__full,52,0,0.04417268033948104,,307,400,6,0.02,0.8,0.8,3,0.0,0.0,2.0,0,5.0,2.0,50.0
target_bow_precision__full,53,0,0.04945159000504364,,174,400,4,0.1,0.6,0.8,10,0.3,0.0,2.0,0,5.0,2.0,50.0
